[C3X renderer] qpc=937108086433 ms=39046170.268 thread=6120 sequence=0 stage=pickup-assets selected hill and 6 source cliffs / 24 channels ready
[C3X renderer] qpc=937115430062 ms=39046476.253 thread=6120 sequence=0 stage=animation-bind resource=horses result=ready facing=SE payload_bytes=527380
[C3X renderer] qpc=937115583996 ms=39046482.667 thread=6120 sequence=0 stage=animation-bind resource=cattle result=ready facing=SE payload_bytes=269048
[C3X renderer] qpc=937115678043 ms=39046486.585 thread=6120 sequence=0 stage=animation-bind resource=wheat result=ready facing=SE payload_bytes=40352
[C3X renderer] qpc=937115945627 ms=39046497.734 thread=6120 sequence=0 stage=animation-bind resource=fish result=ready facing=SE payload_bytes=1006880
[C3X renderer] qpc=937116090821 ms=39046503.784 thread=6120 sequence=0 stage=animation-bind resource=whales result=ready facing=SE payload_bytes=434376
[C3X renderer] qpc=937116243622 ms=39046510.151 thread=6120 sequence=0 stage=animation-bind resource=game result=ready facing=SE payload_bytes=436888
[C3X renderer] qpc=937116425485 ms=39046517.729 thread=6120 sequence=0 stage=animation-bind resource=furs result=ready facing=SE payload_bytes=570712
[C3X renderer] qpc=937116621386 ms=39046525.891 thread=6120 sequence=0 stage=animation-bind resource=ivory result=ready facing=SE payload_bytes=472176
[C3X renderer] qpc=937116772334 ms=39046532.181 thread=6120 sequence=0 stage=animation-bind resource=bananas result=ready facing=SE payload_bytes=159792
[C3X renderer] qpc=937116871723 ms=39046536.322 thread=6120 sequence=0 stage=animation-bind resource=rubber result=ready facing=SE payload_bytes=104628
[C3X renderer] qpc=937119218947 ms=39046634.123 thread=6120 sequence=1 stage=render-begin
[C3X renderer] qpc=937645909376 ms=39068579.557 thread=6120 sequence=1 stage=shader-compile C:\Mac\Home\fun\Civilization III Complete\Conquests\C3X_Districts\Renderer\native\Shader@0x2C64F9E0(1240,2): warning X4000: use of potentially uninitialized variable (q6_receiver_visibility)
C:\Mac\Home\fun\Civilization III Complete\Conquests\C3X_Districts\Renderer\native\Shader@0x2C64F9E0(1633,40): warning X4000: use of potentially uninitialized variable (q6_raw_main)
C:\Mac\Home\fun\Civilization III Complete\Conquests\C3X_Districts\Renderer\native\Shader@0x2C64F9E0(1240,2): warning X4000: use of potentially uninitialized variable (q6_receiver_visibility)

[C3X renderer] qpc=938194058479 ms=39091419.103 thread=6120 sequence=1 stage=world-coast-update revision=1 changed=5000 cells=6272 bytes=379536 ms=330.540
[C3X renderer] qpc=938194100606 ms=39091420.859 thread=6120 sequence=1 stage=source-fidelity authority=r13 adapter=natural-coverage-r3 mountain_mask=1 biome_field=1 coast_coverage=1 coast_height=1 trees=22 recipes=25 weight=180 msaa=4 anisotropy=16 scale=2 mip_bias=-1 scratch_max=3670016 river_pages_max=16 L=-0.000000,-0.595228,0.803557 receive=1
[C3X renderer] qpc=938291165996 ms=39095465.250 thread=6120 sequence=1 stage=mesh-phases built=388 reused=0 ground_ms=1912.434 features_ms=53.678 cliffs_ms=1118.279 upload_ms=930.225 bytes=74235300
[C3X renderer] qpc=938291167398 ms=39095465.308 thread=6120 sequence=1 stage=query-cache shore_hits=717707 shore_misses=590102 material_hits=112035 material_misses=115049 height_queries=882806 scratch_bytes=950272
[C3X renderer] qpc=938291528049 ms=39095480.335 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3156
[C3X renderer] qpc=938291533553 ms=39095480.565 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3307
[C3X renderer] qpc=938291564630 ms=39095481.860 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=1 source_draws=143 casters=2091 bytes_cap=134217728 ticks=19509
[C3X renderer] qpc=938291570289 ms=39095482.095 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3341
[C3X renderer] qpc=938291583920 ms=39095482.663 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3413
[C3X renderer] qpc=938291590979 ms=39095482.957 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3440
[C3X renderer] qpc=938291605038 ms=39095483.543 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=2996
[C3X renderer] qpc=938370448806 ms=39098768.700 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3829
[C3X renderer] qpc=938370483541 ms=39098770.148 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3749
[C3X renderer] qpc=938370495776 ms=39098770.657 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3599
[C3X renderer] qpc=938370526861 ms=39098771.953 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4213
[C3X renderer] qpc=938370536075 ms=39098772.336 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3775
[C3X renderer] qpc=938370568086 ms=39098773.670 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4378
[C3X renderer] qpc=938370578158 ms=39098774.090 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=6508
[C3X renderer] qpc=938370599714 ms=39098774.988 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=2 source_draws=45 casters=2091 bytes_cap=134217728 ticks=10947
[C3X renderer] qpc=938370605197 ms=39098775.217 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3202
[C3X renderer] qpc=938370618821 ms=39098775.784 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3235
[C3X renderer] qpc=938370626853 ms=39098776.119 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3797
[C3X renderer] qpc=938370648169 ms=39098777.007 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4622
[C3X renderer] qpc=938375356546 ms=39098973.189 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=11190
[C3X renderer] qpc=938375402923 ms=39098975.122 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4964
[C3X renderer] qpc=938375415111 ms=39098975.630 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5013
[C3X renderer] qpc=938375446328 ms=39098976.930 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3962
[C3X renderer] qpc=938375458375 ms=39098977.432 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3960
[C3X renderer] qpc=938375498871 ms=39098979.120 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=6454
[C3X renderer] qpc=938375520583 ms=39098980.024 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4812
[C3X renderer] qpc=938375542146 ms=39098980.923 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=2993
[C3X renderer] qpc=938375552417 ms=39098981.351 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4485
[C3X renderer] qpc=938375576434 ms=39098982.351 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3843
[C3X renderer] qpc=938375586949 ms=39098982.790 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4918
[C3X renderer] qpc=938375604278 ms=39098983.512 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3296
[C3X renderer] qpc=938375611745 ms=39098983.823 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3367
[C3X renderer] qpc=938375641103 ms=39098985.046 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3052
[C3X renderer] qpc=938375648293 ms=39098985.346 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=2972
[C3X renderer] qpc=938375668329 ms=39098986.180 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5160
[C3X renderer] qpc=938375684722 ms=39098986.863 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=7543
[C3X renderer] qpc=938375708341 ms=39098987.848 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4055
[C3X renderer] qpc=938375724619 ms=39098988.526 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3936
[C3X renderer] qpc=938375779853 ms=39098990.827 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=1 source_draws=115 casters=2091 bytes_cap=134217728 ticks=29312
[C3X renderer] qpc=938375797897 ms=39098991.579 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5135
[C3X renderer] qpc=938375830820 ms=39098992.951 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5309
[C3X renderer] qpc=938375853308 ms=39098993.888 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5091
[C3X renderer] qpc=938375880978 ms=39098995.041 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=6740
[C3X renderer] qpc=938375892660 ms=39098995.528 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4173
[C3X renderer] qpc=938375915651 ms=39098996.485 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3311
[C3X renderer] qpc=938375928841 ms=39098997.035 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=6989
[C3X renderer] qpc=938375956254 ms=39098998.177 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3694
[C3X renderer] qpc=938375962600 ms=39098998.442 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3030
[C3X renderer] qpc=938375997515 ms=39098999.896 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=2 source_draws=81 casters=2091 bytes_cap=134217728 ticks=17473
[C3X renderer] qpc=938376015086 ms=39099000.629 thread=6120 sequence=1 stage=source-shadow pages_hit=5 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5189
[C3X renderer] qpc=938376072785 ms=39099003.033 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3575
[C3X renderer] qpc=938376162907 ms=39099006.788 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4371
[C3X renderer] qpc=938376240891 ms=39099010.037 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3879
[C3X renderer] qpc=938376251158 ms=39099010.465 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3146
[C3X renderer] qpc=938376294659 ms=39099012.277 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=7087
[C3X renderer] qpc=938376361363 ms=39099015.057 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=6799
[C3X renderer] qpc=938376431855 ms=39099017.994 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=6680
[C3X renderer] qpc=938376444563 ms=39099018.523 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=5808
[C3X renderer] qpc=938376471312 ms=39099019.638 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3864
[C3X renderer] qpc=938376481404 ms=39099020.058 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4026
[C3X renderer] qpc=938376502773 ms=39099020.949 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3745
[C3X renderer] qpc=938376516192 ms=39099021.508 thread=6120 sequence=1 stage=source-shadow pages_hit=3 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=4253
[C3X renderer] qpc=938376544423 ms=39099022.684 thread=6120 sequence=1 stage=source-shadow pages_hit=2 pages_built=2 source_draws=24 casters=2091 bytes_cap=134217728 ticks=6941
[C3X renderer] qpc=938376552570 ms=39099023.024 thread=6120 sequence=1 stage=source-shadow pages_hit=4 pages_built=0 source_draws=0 casters=2091 bytes_cap=134217728 ticks=3406
[C3X renderer] qpc=938376566271 ms=39099023.595 thread=6120 sequence=1 stage=readback-begin includes pending GPU execution
[C3X renderer] qpc=938473267129 ms=39103052.797 thread=6120 sequence=1 stage=frame cache=tiles invalidations=127 camera=1 scene=1 environment=1 wrap=1 content=1 ownership=1 device=1 tiles=964 built=388 reused=0 evicted=0 gpu_bytes=74235300 upload_bytes=73820324 viewport_bytes=2939600 reused_pixels=0 draw_pixels=614400 block_pixels=0 block_bytes=0 render_ms=56418.631 geometry_ms=48831.258 draw_submit_ms=3558.215 readback_wait_ms=4027.026
[C3X renderer] qpc=938473350166 ms=39103056.257 thread=7096 sequence=1 stage=worker-complete result=1 wait_ms=56422.032 tiles=964 prefetch_pending=448 prefetch_built=0 prefetch_unavailable=0 prefetch_cancelled=0 prefetch_bytes=0 cumulative_prewarm_ms=0.000 blocks_pending=0 blocks_built=0 block_bytes=0
[C3X renderer] qpc=938473463380 ms=39103060.974 thread=6120 sequence=1 stage=reset device and all caches
